Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,15.6,16.5,15.8,17.3,18.2,19.5,15.9,11.0,23.7,20.8,13.0,17.2,16.5,15.6,19.1,23.8,22.0,29.6,21.8,20.7,26.5,25.6,30.58,36.02,24.14
Белгородская область,20.6,19.7,16.1,14.7,19.8,20.0,16.3,9.6,25.3,19.4,13.2,16.5,16.1,13.6,18.7,20.4,25.9,31.6,24.0,23.2,21.6,29.2,33.77,33.75,19.13
Брянская область,10.7,12.5,11.3,11.8,14.2,17.5,10.9,12.3,16.9,13.0,9.9,15.8,19.6,16.9,14.7,19.4,20.3,28.0,22.5,20.5,19.9,24.9,28.12,28.96,25.56
Владимирская область,19.1,22.8,21.4,22.6,18.3,20.7,13.6,21.0,15.6,18.9,8.9,12.9,16.8,15.7,26.8,27.3,18.7,22.9,17.0,17.2,28.0,17.4,22.92,36.32,20.78
Воронежская область,14.8,16.0,14.2,17.6,16.3,15.6,14.4,10.3,23.1,20.3,12.3,15.6,14.3,14.2,13.3,20.6,23.1,32.0,19.9,15.0,18.9,23.0,25.29,31.99,17.71
Ивановская область,16.4,19.9,21.9,11.1,22.0,19.7,17.7,19.1,17.4,22.7,21.0,16.2,20.5,14.1,21.9,22.0,21.0,22.8,15.0,13.9,19.3,11.7,15.15,33.84,16.56
Калужская область,9.9,12.6,14.1,24.9,13.2,22.3,12.8,19.3,19.5,25.7,30.6,21.1,21.1,12.2,22.8,24.1,12.5,19.0,15.8,17.1,18.3,11.0,23.21,21.54,17.73
Курская область,18.0,15.6,17.3,13.3,15.2,16.7,16.1,12.4,27.3,20.1,9.5,17.2,15.0,15.7,24.9,20.5,25.5,35.5,26.6,24.7,28.0,30.7,36.94,36.68,22.25
Липецкая область,13.2,14.2,19.5,21.3,21.3,26.9,17.8,12.9,23.6,21.7,14.8,16.2,15.4,15.8,14.9,20.9,24.3,31.2,18.6,20.1,30.2,23.1,32.32,35.88,26.35
Московская область,13.7,22.3,12.6,20.7,22.7,14.4,7.7,8.7,18.2,13.2,7.5,12.3,21.4,12.8,22.7,29.9,21.8,23.6,17.5,12.9,28.5,18.9,28.36,34.68,22.59
Орловская область,17.6,17.5,18.6,19.7,21.5,21.5,19.8,11.9,22.5,24.1,15.2,19.9,19.0,17.3,30.4,25.4,24.0,30.4,30.8,26.6,27.5,24.9,36.23,39.95,28.4
Рязанская область,11.4,13.6,17.3,17.5,16.8,19.2,18.4,14.5,24.6,22.0,14.5,19.6,23.3,16.7,17.1,28.6,21.7,30.2,18.3,21.1,30.9,26.7,30.61,33.85,26.63
Смоленская область,13.3,12.4,13.6,16.4,16.7,13.5,13.0,17.6,16.7,17.5,12.2,19.0,14.6,14.6,25.0,28.4,26.8,23.7,21.0,27.9,16.3,16.0,30.12,29.2,19.66
Тамбовская область,13.7,14.8,14.5,16.0,13.0,22.9,15.2,10.0,23.0,22.6,12.4,18.7,15.2,16.0,16.5,23.7,19.5,30.6,21.3,16.5,27.2,28.2,27.9,38.49,22.94
Тульская область,16.9,19.2,16.0,24.0,21.8,17.9,15.4,14.0,24.6,28.6,21.3,19.3,25.3,17.7,18.7,24.0,21.9,27.4,21.7,26.6,29.0,26.4,34.56,41.18,27.99
Северо-Западный федеральный округ,16.0,14.3,17.7,22.4,15.3,21.2,24.4,22.5,28.9,26.9,29.2,29.3,28.6,26.0,31.2,25.0,24.3,21.2,21.6,26.9,20.3,15.8,36.26,32.05,25.74
Вологодская область,23.1,18.5,21.3,27.4,19.9,25.1,29.6,28.7,33.1,28.4,32.7,30.3,31.0,27.4,35.6,32.9,25.5,20.9,22.7,28.0,23.0,15.9,29.91,39.13,30.13
Псковская область,12.6,9.9,11.6,10.4,10.6,10.7,6.5,14.6,12.0,16.2,9.9,23.1,16.5,18.6,17.9,17.3,12.5,22.7,11.2,27.6,16.7,16.9,59.28,23.55,23.37
Республика Адыгея (Адыгея),12.0,13.0,18.0,7.2,12.5,11.1,17.1,12.6,14.3,5.9,10.5,2.0,13.7,10.8,15.8,14.6,31.4,33.2,18.9,11.3,35.1,29.4,21.49,19.8,24.25
Республика Калмыкия,14.7,22.6,24.8,14.3,16.1,30.0,26.5,8.6,23.4,20.5,16.7,19.3,10.9,6.4,10.3,12.5,15.3,23.5,11.6,14.9,18.0,26.9,12.58,30.27,16.79
Краснодарский край,19.3,24.4,20.1,10.8,24.2,19.8,23.4,14.9,33.9,23.9,24.6,28.4,22.0,22.2,25.6,27.8,32.9,38.8,21.1,27.5,30.1,36.0,25.74,36.78,25.57
Волгоградская область,10.8,16.5,9.0,24.1,15.4,14.2,15.3,4.7,10.4,10.4,9.9,18.1,8.0,10.0,10.9,10.7,16.6,26.9,8.9,7.4,3.6,17.3,17.59,17.9,7.45
Ростовская область,17.0,24.6,14.8,10.2,23.7,15.0,22.2,7.9,25.0,17.6,18.7,18.8,14.5,11.1,15.4,22.6,27.9,32.2,12.8,19.9,23.1,28.2,18.28,33.54,15.23
Республика Дагестан,19.8,6.5,13.0,11.3,13.3,13.5,13.0,10.7,12.8,15.2,8.2,9.5,12.7,10.0,11.1,11.4,16.1,12.6,14.6,16.5,16.0,19.8,17.36,19.25,21.33
Кабардино-Балкарская Республика,9.8,11.9,17.1,8.2,14.6,13.1,20.2,17.9,20.8,19.0,23.7,20.0,18.6,16.2,22.2,20.8,18.8,21.4,18.5,17.9,20.5,23.5,39.57,26.21,12.66
Республика Северная Осетия-Алания,10.4,13.6,23.6,7.2,9.0,10.5,14.0,12.2,19.4,13.1,13.1,19.7,10.2,5.5,13.3,16.9,15.8,20.1,18.2,18.1,20.9,17.3,15.48,16.51,18.81
Ставропольский край,13.6,22.8,19.6,9.7,23.3,21.9,26.2,13.7,30.2,22.0,20.6,29.7,16.2,14.6,19.4,24.4,26.7,32.1,16.5,17.4,21.4,31.7,19.45,30.31,18.88
Приволжский федеральный округ,15.4,19.6,18.4,19.5,16.3,17.9,15.6,15.8,19.6,15.7,9.4,18.2,15.0,12.3,16.8,15.3,17.7,22.1,14.1,18.3,20.7,14.8,24.81,23.31,17.69
Республика Башкортостан,12.5,19.3,22.5,25.4,21.9,19.2,21.3,20.7,22.7,15.9,8.2,17.8,12.7,11.0,15.6,15.3,16.6,19.9,16.3,18.8,21.7,12.3,27.62,16.59,17.07
Республика Марий Эл,7.9,15.3,12.0,14.5,12.8,16.3,7.4,9.5,15.0,12.9,9.3,19.5,13.7,7.6,21.3,23.4,15.6,16.5,16.7,18.8,18.5,11.7,23.5,19.06,14.21
Республика Мордовия,14.0,15.3,14.9,16.9,18.4,23.3,19.5,14.4,23.6,22.8,14.6,19.7,16.9,15.5,19.6,23.7,24.7,30.1,20.7,22.4,23.4,23.2,28.02,35.55,20.45
Республика Татарстан (Татарстан),22.6,22.7,20.4,20.1,17.0,19.6,17.4,19.0,21.2,18.7,9.8,22.3,18.9,13.3,19.5,15.1,19.7,22.6,14.6,21.5,22.5,9.8,26.18,17.21,18.15
Удмуртская Республика,10.5,15.4,14.6,15.8,11.0,13.7,11.0,12.1,14.4,14.8,10.5,18.4,14.7,8.2,19.3,13.4,14.1,19.8,15.6,20.8,18.9,13.1,24.55,17.58,19.42
Чувашская Республика - Чувашия,14.6,18.0,15.0,14.8,13.7,18.1,12.9,13.5,19.3,16.3,11.1,19.3,17.9,12.4,12.0,14.0,18.9,19.6,17.1,24.1,27.1,15.0,28.54,28.29,22.04
Пермский край,11.1,15.7,11.8,11.1,9.8,12.4,11.6,10.5,13.4,14.2,11.4,16.9,12.9,9.9,14.6,11.3,10.1,13.9,17.6,12.6,10.2,6.8,18.98,12.96,19.67
Кировская область,12.1,16.7,11.3,16.1,12.2,17.9,10.5,11.6,15.5,15.3,14.1,21.3,17.0,11.2,22.4,20.8,14.5,17.0,15.4,19.4,18.6,13.7,25.26,24.47,19.85
Нижегородская область,12.2,16.5,12.9,17.7,13.0,18.1,14.3,13.0,21.9,19.0,13.1,21.2,19.7,16.4,19.5,18.0,16.8,18.5,15.9,23.9,23.7,18.3,24.04,33.87,19.06
Оренбургская область,13.7,11.7,15.6,21.0,11.1,12.3,9.8,13.2,16.4,10.9,5.4,12.5,9.1,8.0,10.1,9.5,10.9,18.7,7.3,13.7,12.1,8.8,16.68,14.26,12.35
Пензенская область,13.9,15.6,15.7,14.3,11.5,15.0,12.3,14.0,23.5,15.7,8.9,15.4,14.2,12.6,13.8,17.0,20.3,26.7,12.4,14.4,21.4,21.8,25.21,32.19,20.58
Самарская область,14.2,16.6,15.4,15.4,12.8,13.7,13.4,14.2,18.7,12.6,8.4,15.9,13.5,13.0,15.0,10.9,17.0,25.6,12.1,16.0,18.1,15.1,22.34,18.41,14.56
Саратовская область,11.6,14.5,12.0,15.7,14.4,17.8,14.0,8.1,15.1,10.6,7.3,17.4,9.2,14.6,10.8,10.6,14.9,23.4,8.0,7.9,13.8,14.9,17.03,19.37,14.22
Ульяновская область,19.3,21.6,17.3,18.8,18.5,20.4,18.0,20.6,26.3,15.1,9.1,20.7,18.3,16.3,13.5,10.9,17.1,22.2,10.8,16.1,19.5,13.9,22.03,25.03,17.49
Уральский федеральный округ,12.0,18.8,14.2,14.8,11.9,15.0,15.7,14.9,14.2,13.4,14.0,18.6,12.3,13.8,20.7,16.6,21.1,24.6,18.4,19.9,15.2,12.0,25.72,19.49,17.9
Курганская область,9.6,14.9,12.9,16.0,12.0,11.8,13.4,13.7,13.4,11.9,9.4,18.3,9.3,9.3,18.1,15.9,26.1,27.3,19.8,18.5,13.8,10.0,21.6,16.61,16.97
Свердловская область,10.6,16.5,13.2,14.8,9.5,14.3,13.6,12.1,12.5,15.5,19.0,20.1,12.8,13.7,15.6,14.9,16.3,18.3,16.3,21.3,18.9,16.1,34.0,21.42,19.83
