Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,112.0,96.9,86.4,116.7,106.8,117.1,122.8,133.7,126.6,135.8,83.8,148.6,146.2,155.2,157.1,183.0,173.2,182.4,176.1,189.3,166.6,166.9,185.7,228.59,192.72
Белгородская область,92.4,84.4,80.3,102.1,100.1,103.0,75.9,105.5,87.7,83.3,46.8,93.4,84.9,84.2,107.6,115.6,118.1,123.4,124.4,117.2,105.2,115.6,123.94,130.65,113.39
Брянская область,115.7,113.2,93.8,128.3,122.8,107.0,131.2,155.1,164.5,180.6,148.8,208.3,194.6,199.9,211.8,243.6,258.4,296.0,279.1,269.8,270.5,254.5,281.46,398.39,276.94
Владимирская область,119.8,63.8,88.0,107.3,86.1,127.2,138.4,140.7,114.7,145.0,65.5,144.0,141.1,136.6,145.1,155.1,150.9,128.7,165.0,194.8,170.5,167.8,160.84,173.57,166.03
Воронежская область,109.7,81.1,74.4,120.2,119.7,119.8,114.4,122.8,118.2,122.9,68.7,124.0,144.4,180.4,183.1,187.0,179.8,183.1,163.9,159.2,131.9,137.9,145.55,156.32,127.24
Ивановская область,145.1,72.2,77.7,125.1,101.4,102.5,132.8,155.8,107.0,138.2,101.9,134.9,135.7,135.5,142.1,152.8,151.1,145.8,151.4,158.8,149.4,145.0,149.49,164.43,175.27
Калужская область,110.9,89.4,75.1,116.6,105.2,107.2,121.9,142.1,138.3,153.4,121.4,153.6,144.2,116.0,122.1,159.7,147.4,156.0,159.9,178.7,137.0,147.5,164.67,180.21,157.14
Костромская область,150.3,138.0,128.5,139.6,115.1,146.1,168.0,160.4,150.3,174.9,101.8,175.1,165.8,166.2,178.1,173.6,158.8,146.3,166.9,185.4,187.4,169.4,168.81,195.3,202.0
Курская область,125.2,113.8,112.2,129.3,132.6,135.2,118.8,147.5,131.5,136.0,85.8,174.7,138.3,148.0,158.5,156.4,138.9,167.8,163.5,166.2,163.9,137.6,161.94,164.71,136.91
Липецкая область,89.3,83.1,71.7,106.2,94.6,95.3,111.9,121.7,107.1,121.0,73.0,144.6,148.1,148.4,146.1,169.2,145.3,168.2,149.8,169.6,154.5,131.7,170.32,217.33,194.77
Московская область,101.1,76.3,72.9,95.6,94.5,106.7,120.5,143.3,150.7,185.7,120.3,181.5,182.8,176.3,183.5,220.4,207.0,194.7,191.0,226.0,161.4,186.5,189.78,227.88,219.06
Орловская область,151.2,117.9,95.9,129.5,112.2,128.3,137.7,134.9,137.8,123.4,68.2,138.8,147.9,147.8,120.6,150.6,150.5,170.2,171.9,153.7,152.1,135.5,163.08,170.33,152.06
Рязанская область,118.2,97.8,75.4,118.0,95.7,146.2,171.4,127.8,137.5,150.2,74.8,127.4,143.8,146.3,142.5,175.3,155.2,155.7,148.5,175.5,130.6,145.9,141.79,173.24,166.59
Смоленская область,75.4,87.7,70.4,114.1,116.1,98.1,107.9,126.6,109.9,95.0,97.4,132.7,114.8,131.4,130.5,147.9,124.0,137.5,131.2,146.2,118.2,111.6,140.14,162.7,129.43
Тамбовская область,86.6,102.9,92.4,117.9,113.5,121.8,125.1,137.8,108.3,119.9,56.8,136.7,148.2,169.4,132.4,193.4,147.2,171.6,153.0,177.4,145.7,140.9,163.97,186.27,162.05
Тверская область,132.2,123.0,93.8,95.2,89.4,85.5,105.0,130.2,128.5,117.0,81.7,154.8,129.4,156.6,154.4,190.9,162.5,118.7,165.6,205.8,145.2,165.4,194.41,237.09,225.45
Тульская область,110.2,112.5,98.7,134.9,91.0,149.5,139.5,141.3,157.5,155.2,85.0,162.9,155.3,162.5,154.6,236.5,233.1,253.8,222.3,267.4,242.3,240.9,267.16,339.42,280.68
Ярославская область,129.0,120.8,90.1,117.3,88.5,124.1,127.0,134.4,127.4,158.1,91.8,148.5,161.0,159.1,177.4,187.1,185.2,152.6,184.1,202.1,179.3,184.3,175.63,200.93,188.01
Северо-Западный федеральный округ,125.7,128.8,125.7,106.8,102.6,114.1,116.4,113.9,131.2,121.5,126.3,149.4,145.0,147.5,153.5,164.4,151.8,127.3,166.3,174.8,164.4,168.6,180.24,192.23,191.11
Республика Карелия,102.0,143.8,136.9,133.0,118.4,131.1,137.2,111.1,133.9,121.4,134.5,157.4,134.9,178.6,172.8,166.2,133.9,133.2,156.2,163.7,167.0,151.1,163.4,156.44,161.69
Республика Коми,182.0,183.5,144.5,133.9,140.7,134.6,136.6,91.3,122.7,99.7,117.1,149.9,148.9,156.0,155.9,159.8,144.0,88.7,143.7,120.5,181.1,182.9,177.15,181.59,196.48
Архангельская область,174.5,154.0,161.1,130.1,144.4,147.9,150.4,90.7,112.7,117.5,114.3,133.3,131.4,131.1,134.2,138.3,144.8,93.6,141.7,135.4,136.0,144.0,141.61,148.94,135.66
Ненецкий автономный округ (Архангельская область),177.4,156.9,148.4,109.6,111.3,120.0,100.0,65.3,109.9,115.2,119.9,126.7,127.3,121.0,123.8,125.8,138.9,90.3,129.5,128.9,131.9,132.5,130.77,133.71,123.07
Вологодская область,161.5,164.2,147.2,132.7,94.0,115.7,119.5,111.9,129.1,121.8,93.8,143.8,128.6,136.1,127.5,132.7,139.7,92.3,149.0,179.4,132.2,178.6,188.19,202.4,195.75
Калининградская область,155.3,84.4,118.3,110.8,104.6,99.5,99.8,87.5,156.9,163.3,173.3,181.7,162.9,157.3,167.8,180.8,166.5,173.3,212.3,198.0,200.8,191.1,200.41,215.28,209.0
Ленинградская область,115.0,140.4,137.4,118.0,88.9,127.1,117.1,149.4,152.9,145.1,148.8,165.7,166.4,173.5,176.9,190.4,132.2,154.5,181.7,187.6,172.2,150.5,171.68,188.71,179.59
Мурманская область,137.6,141.2,137.9,100.8,103.3,100.4,91.3,88.9,99.7,108.8,104.8,131.4,89.4,100.0,90.8,83.9,104.5,99.3,107.7,117.2,123.7,184.7,143.86,145.04,143.23
