Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,24.6,17.2,21.7,26.5,29.2,43.4,39.5,43.0,36.5,39.8,18.0,55.9,53.9,56.8,43.0,58.4,65.0,56.1,68.2,71.6,61.3,57.2,75.82,101.55,69.3
Белгородская область,30.3,19.7,24.6,28.2,30.2,44.6,40.8,42.7,31.8,36.4,19.5,61.0,55.1,59.9,52.9,62.1,72.3,53.8,77.7,76.6,71.8,58.9,87.93,106.8,58.82
Воронежская область,19.1,13.2,15.8,22.9,22.7,32.6,25.8,32.0,31.2,30.9,10.7,41.9,43.7,43.5,33.5,48.5,48.8,40.1,49.1,56.5,35.7,36.8,59.69,75.71,48.13
Курская область,27.2,19.3,32.9,34.0,37.3,61.4,52.3,60.2,49.4,50.3,20.3,68.6,59.3,64.4,55.6,58.8,76.9,70.1,83.3,82.7,77.0,61.7,91.53,119.67,76.25
Липецкая область,15.6,36.1,40.0,34.1,45.7,55.8,60.9,59.4,40.8,47.7,14.2,63.0,59.9,58.8,31.3,61.8,58.5,49.2,54.4,72.3,58.8,54.9,75.37,104.89,69.67
Республика Адыгея (Адыгея),15.7,5.0,12.8,11.7,25.8,23.6,23.0,29.8,37.1,40.8,27.3,38.1,34.5,48.9,36.7,35.0,39.8,36.8,20.8,33.6,52.3,47.0,50.3,40.49,26.6
Краснодарский край,22.5,13.8,29.6,34.0,44.9,40.9,40.7,25.5,50.0,35.3,34.4,49.0,42.5,53.5,53.6,54.0,55.3,50.6,33.9,49.7,46.8,53.6,64.05,60.47,31.32
Волгоградская область,12.9,11.8,18.2,24.1,33.6,37.9,27.0,32.7,35.3,25.5,10.1,26.9,26.5,43.8,28.7,31.3,39.1,34.7,38.7,47.1,30.0,34.8,50.04,62.16,42.94
Ростовская область,17.0,11.8,16.2,32.9,32.9,39.5,30.8,16.2,26.2,18.5,16.1,29.0,21.6,27.8,27.0,28.3,37.3,34.2,29.0,48.5,33.0,41.8,39.94,55.65,28.04
Республика Дагестан,15.1,17.8,23.4,29.5,27.8,31.4,25.5,28.9,27.3,29.3,35.3,32.9,27.8,31.8,34.5,33.6,32.7,36.8,35.8,41.9,40.0,40.7,42.54,40.19,40.34
Республика Ингушетия,14.5,11.8,21.6,20.1,22.5,19.6,29.9,17.8,14.5,26.0,15.3,27.7,25.6,30.0,33.7,29.1,33.1,19.6,26.5,29.8,26.4,38.1,46.35,48.37,20.01
Кабардино-Балкарская Республика,36.0,42.1,46.7,45.8,50.3,28.7,35.0,37.7,40.3,42.9,47.7,50.7,56.2,69.1,58.2,55.6,71.8,66.3,63.7,69.4,70.0,71.8,71.35,81.28,68.0
Карачаево-Черкесская Республика,18.6,18.5,19.3,17.7,22.0,17.0,17.4,23.6,25.4,23.8,36.7,32.9,46.0,56.1,52.3,50.9,57.9,56.2,50.7,58.4,40.5,50.2,57.0,66.36,46.27
Республика Северная Осетия-Алания,24.8,32.1,28.7,28.7,53.2,44.8,39.4,49.5,56.9,62.6,52.0,53.2,56.0,61.2,61.5,49.7,57.0,55.4,64.9,74.8,72.4,74.9,75.79,81.18,59.3
Ставропольский край,18.1,14.8,32.1,28.0,44.3,36.1,35.8,24.7,39.6,35.5,34.8,53.1,43.7,45.9,44.9,41.6,64.1,45.0,35.0,42.3,34.6,52.4,62.55,65.09,35.35
Приволжский федеральный округ,19.9,28.0,41.6,43.9,51.4,47.9,36.9,34.7,32.4,31.5,17.6,20.5,26.2,37.7,28.6,39.6,37.7,33.1,38.9,42.0,38.3,37.0,50.42,56.52,54.76
Оренбургская область,20.7,12.8,10.3,18.7,22.7,48.8,21.9,21.7,23.4,19.7,11.4,14.6,14.1,24.5,21.6,22.4,17.3,18.2,17.2,26.2,18.9,16.4,25.97,26.37,47.9
Самарская область,5.2,7.7,8.4,10.6,21.2,19.9,24.7,19.7,34.7,11.8,23.8,20.3,34.9,38.1,34.1,31.3,33.7,29.9,32.9,32.5,28.0,31.5,42.57,39.69,54.29
Саратовская область,20.8,31.5,45.5,47.8,54.4,54.7,52.0,27.4,39.7,30.1,27.8,24.9,30.3,36.4,24.7,31.5,37.8,30.4,39.0,40.5,35.5,40.2,53.88,59.52,46.75
Приморский край,15.7,13.1,18.2,29.1,21.1,24.2,26.3,21.1,26.2,28.2,36.8,42.5,41.1,39.2,49.6,51.3,47.1,55.4,61.4,52.2,44.2,58.6,78.94,54.73,69.42
Хабаровский край,13.4,10.0,19.0,13.5,18.8,15.5,16.4,18.3,14.3,14.2,16.9,8.6,22.9,26.7,42.5,39.4,31.4,38.0,36.4,33.5,28.9,39.7,50.35,60.36,57.59
Амурская область,6.4,8.9,7.4,11.7,6.5,7.2,10.7,18.4,45.5,18.5,32.3,28.2,24.8,30.3,32.4,39.4,44.0,48.1,34.7,56.1,53.3,62.1,64.77,72.12,70.08
