Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,13.2,14.8,14.9,19.8,16.2,14.9,14.4,16.1,19.9,18.3,13.2,17.2,18.6,16.4,21.2,19.5,18.6,22.7,19.5,20.4,21.6,19.0,23.37,26.62,22.35
Белгородская область,23.0,23.1,21.4,23.5,22.8,21.6,18.9,19.2,28.3,22.0,15.2,22.5,25.6,19.3,31.1,19.5,32.7,28.7,38.3,26.7,29.8,28.2,32.8,33.78,28.57
Брянская область,11.7,13.3,15.8,17.4,17.0,17.3,13.8,14.6,18.3,17.4,12.8,15.7,19.3,15.5,19.4,20.0,23.3,27.0,26.1,23.7,25.2,23.5,28.21,29.92,29.47
Владимирская область,15.4,17.7,17.5,19.2,16.8,13.5,14.9,16.3,17.5,18.6,14.0,14.9,16.6,15.3,17.6,19.2,15.8,23.4,15.1,19.1,22.1,14.5,19.64,25.41,17.6
Воронежская область,14.8,15.9,16.5,22.8,15.9,16.7,14.8,16.3,24.7,17.8,9.3,19.0,18.8,19.1,23.5,19.2,25.8,26.7,18.8,18.3,23.1,26.7,28.16,31.32,21.92
Ивановская область,13.7,16.7,14.9,18.2,14.1,12.1,10.9,14.0,15.7,16.4,14.3,13.3,14.3,13.3,17.4,18.3,16.7,18.9,14.5,17.1,18.3,10.5,8.36,23.97,17.32
Калужская область,10.5,12.6,14.5,20.1,17.9,16.4,17.5,15.8,17.9,18.9,16.3,16.0,20.2,14.7,19.7,21.8,16.1,22.6,19.0,21.3,18.5,16.5,23.62,22.7,19.47
Костромская область,10.1,12.2,10.8,14.2,11.7,9.4,9.9,11.7,13.2,12.7,11.0,14.4,13.4,11.0,15.1,16.0,12.8,12.8,12.2,14.8,14.3,8.7,19.4,22.22,17.27
Курская область,20.1,17.5,19.4,19.7,20.3,20.0,17.9,20.4,27.2,22.9,15.6,23.5,23.8,21.9,30.8,22.8,24.3,30.8,27.7,30.4,33.2,30.7,37.91,35.63,35.57
Липецкая область,17.6,19.9,23.2,29.0,26.1,26.6,23.9,23.4,33.0,30.4,16.6,19.0,22.5,22.0,29.1,25.7,22.4,32.7,23.5,26.7,32.9,26.0,28.1,29.83,27.01
Московская область,17.4,20.0,17.4,23.4,22.0,17.3,19.7,19.8,20.9,23.8,17.6,19.8,22.7,17.9,26.6,25.9,18.1,23.5,19.4,22.3,21.0,18.1,30.06,30.26,20.15
Орловская область,20.1,19.8,19.4,24.6,21.0,22.1,18.1,20.3,27.8,24.0,17.9,20.2,22.6,19.3,26.7,21.1,20.4,28.3,25.4,26.7,28.5,26.0,34.42,32.93,30.62
