Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,19.2,27.6,29.4,21.5,24.7,26.8,24.8,28.3,36.8,32.0,19.8,25.1,25.9,34.2,40.9,30.3,37.8,45.2,39.0,39.0,48.7,37.3,51.53,51.09,40.14
Белгородская область,20.2,34.6,32.6,19.3,27.5,31.8,25.6,31.0,45.2,31.5,20.7,34.1,31.8,40.7,49.9,37.9,45.1,52.4,44.6,48.6,54.0,45.0,57.56,60.27,39.3
Брянская область,16.6,17.0,22.4,18.8,24.9,22.5,20.9,27.3,25.5,28.0,22.3,25.4,26.9,30.0,37.7,32.7,36.4,42.7,39.3,39.1,48.9,41.1,48.18,51.48,48.44
Владимирская область,17.9,21.8,26.5,17.6,23.4,19.1,26.8,24.4,25.2,29.1,18.3,24.5,23.9,19.1,27.0,28.5,27.5,33.4,25.7,21.9,36.2,26.2,27.24,37.34,28.41
Воронежская область,20.1,30.5,29.2,22.7,24.0,25.2,20.1,24.9,38.4,28.6,15.4,25.5,26.1,28.9,38.8,29.1,37.4,45.6,35.5,36.6,44.7,29.5,48.75,47.86,29.26
Ивановская область,15.6,17.1,17.1,16.6,18.8,17.3,19.9,20.5,20.8,21.4,22.0,21.1,23.9,20.6,23.3,26.4,25.3,24.5,24.2,24.2,32.1,23.5,24.93,32.96,28.0
Калужская область,16.3,15.7,25.3,18.1,21.8,17.3,22.1,22.9,20.6,23.6,21.9,23.4,22.9,17.8,24.5,28.5,22.7,26.5,30.2,31.2,34.7,25.9,31.73,39.3,31.72
Курская область,17.9,25.5,28.6,18.4,24.1,28.1,25.0,27.3,36.6,34.1,21.7,28.6,30.8,37.7,46.1,31.6,41.4,53.3,45.1,49.5,56.9,43.8,62.39,62.72,50.64
Липецкая область,16.1,29.5,31.5,25.4,28.6,35.4,28.7,33.5,41.8,37.5,20.5,26.2,23.3,36.5,39.1,25.2,40.4,44.9,42.9,42.1,55.4,37.7,56.09,53.58,41.56
Московская область,23.5,21.2,27.3,19.0,28.4,21.8,25.0,31.6,29.8,31.5,22.8,26.5,25.1,25.8,32.1,33.0,30.0,33.2,30.1,26.1,36.8,30.5,42.16,44.57,35.74
Орловская область,22.1,27.6,32.9,22.7,26.0,27.6,28.1,31.3,34.2,35.1,25.0,23.6,30.0,38.3,46.5,29.6,37.6,43.9,41.7,43.0,48.8,42.3,53.48,56.29,46.12
Рязанская область,18.5,23.3,27.7,21.5,23.3,22.9,28.3,28.9,33.5,32.9,15.9,17.6,18.9,30.3,30.8,29.0,34.0,41.7,31.8,32.4,45.1,32.8,49.26,40.14,43.35
Смоленская область,13.8,13.4,22.2,17.9,14.1,14.9,17.9,22.4,20.6,18.9,15.8,23.1,24.2,19.0,30.2,30.7,26.7,30.7,33.2,33.6,28.3,26.7,29.87,29.49,28.2
Тамбовская область,18.8,28.1,26.3,23.2,21.5,21.8,25.1,24.4,34.3,29.2,15.7,22.9,20.8,34.8,35.9,29.1,36.7,44.9,35.3,31.4,48.8,31.1,47.45,48.55,36.39
Тверская область,12.7,10.7,18.0,14.4,14.2,17.6,25.0,22.0,21.4,18.8,16.5,16.3,17.4,16.5,34.2,32.5,25.1,19.0,21.9,28.7,27.2,29.5,39.1,34.79,31.51
Тульская область,19.3,23.3,27.9,20.1,22.9,23.4,23.4,31.2,31.0,32.6,19.5,20.0,23.9,32.3,36.0,28.4,34.3,37.2,39.0,33.9,43.4,38.8,50.34,45.72,43.76
Ярославская область,16.6,15.9,19.0,18.4,16.8,17.6,22.4,24.4,21.4,26.3,17.4,20.4,21.2,19.8,29.2,27.3,24.7,23.0,23.0,23.6,29.2,21.9,25.92,40.47,27.45
Северо-Западный федеральный округ,19.5,18.8,19.8,23.5,31.7,32.6,21.2,30.9,40.7,38.3,33.1,25.4,34.9,34.3,40.8,45.8,33.0,39.0,32.6,48.9,52.5,45.8,51.44,51.12,52.95
Вологодская область,31.2,11.6,11.9,8.1,4.7,22.7,19.4,29.5,12.0,14.9,16.1,15.7,16.6,17.4,32.6,13.8,25.1,12.1,7.9,21.9,19.9,20.8,25.16,40.31,29.19
Калининградская область,24.4,22.8,23.3,25.5,35.1,35.4,21.7,31.9,46.0,41.1,35.8,25.5,35.9,38.4,42.4,49.6,32.2,43.5,38.9,51.7,56.7,50.8,56.71,60.4,60.1
Ленинградская область,21.6,16.2,25.0,22.5,25.9,34.1,28.8,36.9,36.5,26.1,23.6,24.9,39.6,26.2,37.9,39.3,28.2,34.3,32.4,39.3,45.9,40.9,43.19,38.05,40.78
Новгородская область,9.8,9.3,11.7,10.9,15.5,16.8,17.4,27.2,25.2,17.6,22.7,32.8,35.1,23.5,42.4,40.2,33.3,24.4,22.0,30.3,28.5,35.1,29.49,15.6,26.52
Псковская область,10.8,8.9,12.0,9.9,12.5,13.5,16.3,15.5,16.1,14.7,14.0,21.3,29.3,24.5,35.6,33.6,36.6,26.8,11.7,46.4,42.6,36.9,41.66,33.83,39.37
Республика Адыгея (Адыгея),30.5,34.3,38.0,18.1,33.4,38.7,36.8,41.9,49.1,40.5,40.1,41.1,28.5,36.8,43.5,49.2,51.4,47.5,45.2,46.3,52.1,46.1,50.99,43.83,49.72
Республика Калмыкия,12.4,19.7,20.5,16.4,24.1,22.0,21.5,15.9,20.3,17.9,16.8,22.7,13.7,14.6,18.3,20.9,27.9,26.7,24.0,23.8,22.7,22.7,27.64,29.01,27.55
Краснодарский край,39.0,44.4,47.5,33.8,43.4,46.8,42.9,45.4,55.4,46.1,50.2,55.3,40.1,50.3,55.0,57.6,58.6,62.1,61.6,59.7,47.8,60.0,67.48,56.23,63.16
Астраханская область,13.7,15.7,15.2,5.2,12.1,12.9,9.3,8.9,15.4,17.5,11.8,13.8,18.1,14.7,19.5,26.9,31.8,31.9,22.7,25.6,28.7,37.7,34.82,33.72,31.54
Волгоградская область,18.7,27.5,24.3,16.1,28.5,23.7,22.5,19.8,28.6,21.1,13.4,18.8,18.7,20.4,24.8,21.0,30.2,32.9,23.3,24.5,28.7,25.9,36.18,33.86,20.72
Ростовская область,22.2,30.4,30.7,19.6,35.9,30.4,29.3,22.2,34.1,26.8,27.3,29.2,23.8,23.9,33.4,32.5,39.0,44.5,36.0,35.6,36.5,39.6,45.29,46.88,36.11
