Регион,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Центральный федеральный округ,7.8,6.4,7.6,9.4,9.2,12.8,9.3,11.6,9.4,10.7,7.6,18.4,15.4,16.9,12.0,17.1,21.8,16.1,20.0,20.8,19.7,17.7,21.14,25.02,19.24
Белгородская область,7.5,7.7,10.3,10.4,9.1,13.9,9.4,12.3,9.4,10.8,9.5,19.5,17.7,18.7,14.4,19.4,24.5,16.5,24.8,23.1,22.2,18.0,21.97,26.81,16.63
Воронежская область,8.2,5.1,5.6,9.7,9.5,11.4,8.1,9.0,8.0,9.2,4.1,15.2,13.5,12.0,10.3,15.6,15.8,13.5,17.5,19.5,13.6,15.4,19.21,22.57,16.21
Курская область,8.2,6.4,6.3,6.5,5.7,9.1,6.5,12.6,10.6,12.7,6.6,17.4,14.5,17.6,14.0,16.6,23.9,18.5,22.5,22.2,21.6,17.9,23.34,27.4,21.67
Орловская область,5.7,6.4,20.9,11.1,13.2,12.1,13.9,6.8,15.9,11.1,9.4,21.7,12.5,16.5,10.6,13.7,19.8,15.6,17.2,18.1,19.9,19.0,18.67,23.42,21.82
Рязанская область,14.8,4.0,4.3,5.1,2.5,13.4,7.0,7.2,8.7,7.7,4.3,8.0,5.8,16.4,8.4,17.2,20.3,14.0,12.2,19.8,19.9,16.2,19.52,23.15,21.05
Республика Адыгея (Адыгея),12.2,6.6,16.0,10.8,11.6,8.9,8.5,12.5,9.8,16.9,8.2,16.8,12.2,14.2,11.0,13.8,21.5,16.1,12.2,16.2,20.6,16.3,14.12,14.06,9.1
Краснодарский край,11.9,8.7,17.7,12.3,18.4,12.8,12.3,10.2,16.0,18.0,15.4,18.8,18.4,21.0,17.5,16.5,21.5,20.1,14.7,18.9,19.5,20.6,22.93,19.67,12.12
Волгоградская область,4.3,6.6,4.8,8.9,6.2,3.3,9.9,8.8,6.6,7.8,4.4,9.4,10.3,15.4,12.6,12.2,18.3,15.1,15.9,19.8,15.8,16.3,14.02,19.95,13.37
Ростовская область,7.5,7.2,10.0,13.5,13.4,11.6,7.1,6.6,9.8,8.8,5.4,8.8,6.6,8.3,6.5,6.9,10.2,8.6,12.6,11.2,10.2,12.3,10.83,15.44,10.39
Республика Северная Осетия-Алания,7.5,8.6,11.1,9.2,14.9,5.8,9.8,7.8,8.7,11.7,14.4,15.0,20.7,13.0,22.8,13.5,15.1,12.2,13.7,16.8,16.3,17.3,13.26,16.98,16.9
Ставропольский край,9.2,10.8,15.4,11.1,14.6,10.6,10.4,9.7,11.8,15.0,10.3,15.9,13.0,15.7,10.4,12.7,18.1,15.2,15.0,14.0,14.7,19.3,20.81,22.25,14.22
Приволжский федеральный округ,5.4,4.8,4.7,9.8,11.2,8.9,7.0,5.7,9.1,7.2,5.6,11.1,10.8,14.9,10.3,14.0,14.3,13.5,14.2,16.4,16.8,16.5,16.36,16.61,16.78
Самарская область,4.0,4.3,4.7,12.5,11.6,8.2,8.3,10.8,9.4,6.7,5.3,11.5,11.0,13.2,12.2,11.5,14.8,14.2,18.2,19.0,17.8,16.0,17.88,15.59,20.4
Саратовская область,4.6,4.5,3.1,10.4,16.4,11.5,8.2,7.2,10.4,15.3,11.4,14.8,17.3,19.1,10.7,14.1,18.5,15.3,14.7,16.0,16.3,18.2,19.07,20.97,16.95
Ульяновская область,1.8,3.7,2.7,4.4,16.5,10.3,6.6,8.3,9.1,5.9,3.6,6.8,4.4,10.1,8.2,17.4,8.5,11.7,12.2,13.9,14.2,11.4,14.69,10.71,17.38
Уральский федеральный округ,3.1,2.9,7.0,7.3,12.0,7.1,3.9,4.8,4.9,5.4,3.0,7.8,8.2,11.9,3.7,6.2,14.0,12.8,11.9,11.5,12.9,13.8,10.5,13.35,15.04
Алтайский край,7.2,8.2,10.1,10.6,11.4,13.0,11.0,9.5,8.5,12.2,9.3,9.2,10.1,12.4,13.7,11.0,18.9,16.4,11.9,12.8,13.9,15.2,14.82,19.14,21.35
Новосибирская область,6.9,8.7,10.1,4.4,7.7,3.6,9.3,9.8,7.6,7.4,10.2,5.5,2.8,4.6,5.8,10.6,10.2,14.5,13.0,10.8,16.2,16.2,11.09,13.72,16.66
Омская область,5.0,10.0,8.9,4.3,10.1,3.3,8.6,6.4,4.0,5.1,2.7,4.4,4.4,7.4,5.0,8.0,8.7,8.3,8.8,6.0,8.6,9.7,5.2,9.97,12.16
Приморский край,9.5,8.2,7.8,6.6,9.0,8.8,9.4,8.3,10.5,11.4,11.1,11.9,12.2,11.2,14.6,13.1,13.5,13.9,13.8,13.5,15.0,14.6,17.73,14.66,13.96
Хабаровский край,9.3,6.9,7.6,7.1,9.3,8.7,9.6,10.7,11.1,10.7,10.3,11.6,12.9,13.4,14.7,12.9,11.5,13.8,14.8,10.3,13.4,15.5,16.64,17.99,15.12
Амурская область,11.1,11.1,11.2,12.0,7.2,7.2,7.3,8.4,9.1,11.1,13.4,14.7,11.8,10.1,14.2,12.2,11.8,14.4,14.1,14.0,13.7,16.4,19.0,16.57,16.38
Еврейская автономная область,7.1,5.4,6.5,5.8,8.9,10.6,10.6,13.4,13.1,11.0,12.2,13.7,11.8,9.3,12.6,11.8,10.0,12.4,11.2,7.3,9.4,11.2,12.74,15.0,12.7
