Регион,2000,2001,2002,2003,2004,2005,2006
Российская Федерация,69.4,76.4,77.0,72.9,77.2,83.5,85.6
Центральный федеральный округ,80.8,78.7,77.7,62.4,72.3,79.7,84.4
Белгородская область,37.6,42.2,58.1,56.1,60.1,64.0,65.4
Брянская область,49.4,60.1,60.4,36.5,36.0,39.0,43.7
Владимирская область,116.0,115.0,121.1,99.0,74.0,90.0,95.0
Воронежская область,53.5,54.6,61.0,34.9,35.0,37.1,45.0
Ивановская область,19.0,20.0,72.7,40.0,82.0,79.0,109.9
Калужская область,77.7,91.9,85.7,69.6,82.5,84.3,88.6
Костромская область,76.4,53.9,50.3,64.9,60.8,64.8,69.1
Курская область,74.6,92.0,76.6,68.0,85.0,95.1,87.1
Липецкая область,67.9,60.2,59.8,26.5,55.5,56.9,60.8
Московская область,98.8,80.9,85.3,78.6,98.3,109.2,119.9
Орловская область,73.5,71.1,72.1,27.5,55.4,71.2,62.6
Рязанская область,67.0,69.4,34.7,23.6,38.2,42.3,63.2
Смоленская область,77.7,101.2,90.5,63.0,58.4,73.3,75.4
Тамбовская область,74.1,79.7,67.8,60.4,68.9,88.1,77.0
Тверская область,63.7,58.7,56.8,49.8,47.6,49.0,49.3
Тульская область,112.6,108.9,112.9,70.3,105.5,137.0,130.9
Ярославская область,128.0,122.0,141.0,99.0,119.9,91.9,89.9
Северо-Западный федеральный округ,83.9,88.1,88.7,81.3,81.8,79.4,73.2
Республика Карелия,58.1,66.1,63.1,89.0,83.0,66.0,65.0
Республика Коми,102.0,101.2,108.2,108.9,106.7,106.4,116.5
Архангельская область,116.0,133.0,113.4,86.0,79.9,69.9,52.1
Вологодская область,66.4,73.6,76.8,84.5,80.7,73.2,71.0
Калининградская область,63.5,68.4,91.4,102.9,98.6,161.5,70.0
Ленинградская область,66.1,78.5,76.0,66.0,70.1,72.9,71.9
Новгородская область,101.5,108.1,115.4,89.5,119.2,126.3,114.4
Псковская область,77.5,65.0,62.6,57.1,49.3,38.3,40.4
Южный федеральный округ (по 2009 год),42.7,64.0,66.7,51.7,66.0,67.8,69.7
Республика Калмыкия,10.0,60.6,47.9,76.5,37.3,117.0,90.4
Краснодарский край,35.4,44.2,34.9,16.4,28.5,24.7,30.2
Астраханская область,71.9,78.5,71.8,49.5,49.0,70.5,48.5
Волгоградская область,59.5,83.5,77.5,72.7,84.7,89.9,83.4
Ростовская область,32.3,73.7,88.7,65.4,62.1,72.0,73.4
Республика Дагестан,54.6,75.8,89.2,98.7,116.6,110.4,125.1
Республика Ингушетия,53.8,52.1,46.4,48.5,47.4,44.0,44.1
Кабардино-Балкарская Республика,94.6,99.2,105.0,93.4,97.6,101.1,97.3
Карачаево-Черкесская Республика,99.4,81.0,91.0,49.6,88.6,80.3,69.1
Республика Северная Осетия-Алания,54.9,43.2,87.7,63.5,72.1,68.3,63.4
Ставропольский край,5.2,10.4,12.6,13.7,59.8,50.0,54.8
