Регион,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Российская Федерация,48.4,53.7,57.8,58.9,58.7,59.2,62.0,56.0,64.1,63.7,69.5,68.4,68.8,72.5,67.8,75.5,78.4,78.8,79.3
Центральный федеральный округ,48.3,58.2,61.5,55.1,52.5,53.9,64.1,59.4,68.8,66.9,70.5,72.3,68.2,70.0,60.8,67.7,70.8,72.3,77.1
Белгородская область,34.3,39.6,28.3,16.2,21.4,20.8,21.3,19.4,21.0,24.7,26.4,28.8,29.8,32.5,33.1,33.9,34.1,39.6,45.0
Владимирская область,45.8,53.8,52.8,46.6,47.6,43.1,48.5,44.0,44.1,48.8,43.0,47.7,47.6,46.2,41.7,44.8,46.0,47.8,54.0
Воронежская область,17.2,17.5,27.2,26.2,20.8,38.3,20.4,83.0,40.2,34.7,66.5,73.6,68.0,86.8,91.7,74.1,83.7,87.1,94.9
Ивановская область,78.8,59.1,49.0,55.9,46.5,46.6,48.2,41.4,47.4,44.9,44.9,40.5,40.2,46.5,51.4,53.6,58.9,60.2,61.9
Калужская область,20.0,40.9,42.5,37.8,37.5,42.7,44.8,49.9,73.5,93.2,94.6,100.2,102.8,114.1,110.5,120.6,104.2,98.5,96.8
Костромская область,105.2,109.8,107.9,102.8,92.5,104.9,102.4,99.2,92.3,95.1,97.7,95.7,107.1,64.0,56.8,74.1,92.7,101.1,109.9
Курская область,46.2,80.4,80.4,82.7,92.9,78.2,84.7,91.5,72.4,131.9,121.3,113.8,110.5,95.8,87.3,61.8,82.8,80.4,78.7
Липецкая область,24.1,31.8,25.6,30.2,48.0,48.9,47.4,36.2,53.5,62.4,61.6,59.2,57.3,53.6,51.1,66.1,81.4,85.9,63.8
Московская область,68.5,74.8,78.8,61.4,54.9,53.7,84.7,73.2,101.8,83.3,75.0,71.9,69.6,69.2,44.0,59.0,58.5,67.9,85.3
Орловская область,64.8,69.6,76.1,76.3,77.6,85.7,84.9,63.3,68.8,72.7,72.0,77.9,80.8,66.0,59.3,68.9,69.7,64.8,66.9
Рязанская область,22.3,42.2,31.1,30.1,32.1,36.4,59.0,33.3,40.6,41.8,42.2,42.1,45.8,46.3,42.3,45.5,59.5,64.2,94.4
Смоленская область,57.3,85.9,84.8,68.2,72.9,67.6,102.1,86.9,90.0,78.5,95.1,83.5,69.1,85.4,52.2,58.3,96.0,107.1,70.4
Тамбовская область,34.2,57.4,54.3,45.1,61.8,95.6,62.6,59.5,55.4,64.4,71.9,66.5,68.1,60.6,90.5,71.3,55.1,66.6,65.4
Тверская область,29.7,33.4,34.3,31.0,30.1,39.5,58.7,51.7,59.9,80.0,78.6,72.5,78.4,84.6,59.5,77.9,112.5,84.0,82.9
Тульская область,28.4,52.1,61.6,61.0,61.0,43.9,47.3,36.5,31.3,45.9,73.1,133.6,85.2,80.3,84.8,130.0,105.3,72.3,77.4
Ярославская область,102.6,97.6,121.6,105.2,107.1,92.6,82.7,58.1,73.7,51.1,63.5,65.5,59.0,86.7,63.5,70.8,71.9,78.0,90.2
